condition,condition_labs,subject,trial,score,ignap,ignba,icint
10 bananas 70 apples,hi10lo70,19,2,29,0.22727272727272727,0,1.1130347115417512
10 bananas 70 apples,hi10lo70,19,3,33,0.4,0,1.0958623469389064
10 bananas 70 apples,hi10lo70,19,4,34,0.4444444444444444,0,1.0147632692286817
10 bananas 70 apples,hi10lo70,19,5,29,0.47619047619047616,0,0.8664854477583639
10 bananas 70 apples,hi10lo70,19,6,18,0.42857142857142855,0,0.9710750862080925
10 bananas 70 apples,hi10lo70,19,7,22,0.2727272727272727,0,1.0129954545462334
10 bananas 70 apples,hi10lo70,19,8,21,0.2857142857142857,0,0.8931882031247369
10 bananas 70 apples,hi10lo70,19,9,33,0.2857142857142857,0,1.0573341666669067
10 bananas 70 apples,hi10lo70,19,10,27,0.5,0.25,0.9391185245896522
10 bananas 70 apples,hi10lo70,19,11,26,0.4166666666666667,0,0.9912673684180175
10 bananas 70 apples,hi10lo70,19,12,34,0.7894736842105263,0,1.1667968478236024
10 bananas 70 apples,hi10lo70,19,13,24,0.4,0,1.2129498936156644
10 bananas 70 apples,hi10lo70,19,14,20,0.4666666666666667,0,0.9621511864420658
10 bananas 70 apples,hi10lo70,19,15,37,0.2777777777777778,0,1.0118874528287154
10 bananas 70 apples,hi10lo70,19,16,19,0.43478260869565216,0,1.0247845535715376
10 bananas 70 apples,hi10lo70,19,17,23,0.2916666666666667,0,1.017525535712983
10 bananas 70 apples,hi10lo70,19,18,19,0.4583333333333333,0,0.9459926271179723
10 bananas 70 apples,hi10lo70,19,19,28,0.5652173913043478,0,1.143501099999994
10 bananas 70 apples,hi10lo70,19,20,18,0.4,0,1.0881300943394034
40 bananas 40 apples,hi40lo40,20,1,62,0,0,1.6565029411764731
40 bananas 40 apples,hi40lo40,20,2,56,0,0,1.5021147297297215
40 bananas 40 apples,hi40lo40,20,3,64,0.2,0,1.9336582758620717
40 bananas 40 apples,hi40lo40,20,4,69,0,0,2.146842962962974
40 bananas 40 apples,hi40lo40,20,5,75,0,0,2.5561730000000153
40 bananas 40 apples,hi40lo40,20,6,34,0,0,1.7231488709677387
40 bananas 40 apples,hi40lo40,20,7,60,0,0,1.7019482258064595
40 bananas 40 apples,hi40lo40,20,8,55,0,0,1.5117914473684155
40 bananas 40 apples,hi40lo40,20,9,45,0.1,0,1.7060775757575797
40 bananas 40 apples,hi40lo40,20,10,43,0.07142857142857142,0,1.474449078947373
40 bananas 40 apples,hi40lo40,20,11,59,0,0,1.34209244186047
40 bananas 40 apples,hi40lo40,20,12,39,0,0.16666666666666666,1.1490679999999975
40 bananas 40 apples,hi40lo40,20,13,39,0,0.16666666666666666,1.9097722413793048
40 bananas 40 apples,hi40lo40,20,14,41,0,0,1.8455820967741925
40 bananas 40 apples,hi40lo40,20,15,41,0,0,2.254220652173919
40 bananas 40 apples,hi40lo40,20,16,45,0.1,0,1.9071929310344817
40 bananas 40 apples,hi40lo40,20,17,54,0,0.2,1.565999714285707
40 bananas 40 apples,hi40lo40,20,18,54,0,0.1111111111111111,1.2844824999999984
40 bananas 40 apples,hi40lo40,20,19,50,0,0.125,1.3391337209302334
40 bananas 40 apples,hi40lo40,20,20,54,0.14285714285714285,0,1.276416279069762
10 bananas 70 apples,hi10lo70,21,1,23,0,0,1.551140999999812
10 bananas 70 apples,hi10lo70,21,2,21,0,0,2.3673410869564777
10 bananas 70 apples,hi10lo70,21,3,22,0,0,1.9564546428570924
10 bananas 70 apples,hi10lo70,21,4,26,0,0,1.7286387499998455
10 bananas 70 apples,hi10lo70,21,5,30,0,0,1.8071048333333843
10 bananas 70 apples,hi10lo70,21,6,25,0,0,1.8794276666665004
10 bananas 70 apples,hi10lo70,21,7,27,0,0,1.787425645161189
10 bananas 70 apples,hi10lo70,21,8,24,0,0,2.0346922222223065
10 bananas 70 apples,hi10lo70,21,9,25,0,0,2.0109950000002685
10 bananas 70 apples,hi10lo70,21,10,30,0,0,1.9581922222221533
10 bananas 70 apples,hi10lo70,21,11,36,0,0,1.9441632758620204
10 bananas 70 apples,hi10lo70,21,12,29,0,0,1.9758853571428128
10 bananas 70 apples,hi10lo70,21,13,31,0,0,2.2872695652176547
10 bananas 70 apples,hi10lo70,21,14,28,0,0,2.337501739130264
10 bananas 70 apples,hi10lo70,21,15,24,0,0,1.9802089285715607
10 bananas 70 apples,hi10lo70,21,16,18,0,0,1.9870325925924976
10 bananas 70 apples,hi10lo70,21,17,10,0,NA,1.9003140740740625
10 bananas 70 apples,hi10lo70,21,18,19,0,0,2.3813002173913485
10 bananas 70 apples,hi10lo70,21,19,22,0,0,2.2213886000000547
10 bananas 70 apples,hi10lo70,21,20,14,0,0,2.6595085000000838
10 bananas 70 apples,hi10lo70,22,1,40,0.23076923076923078,0.16666666666666666,1.3834315789472864
10 bananas 70 apples,hi10lo70,22,2,38,0,0,1.208463404255181
10 bananas 70 apples,hi10lo70,22,3,34,0.6666666666666666,0,0.8550285074626158
10 bananas 70 apples,hi10lo70,22,4,40,0,0,1.2009492553188466
10 bananas 70 apples,hi10lo70,22,5,29,0.10526315789473684,0,1.272985869565594
10 bananas 70 apples,hi10lo70,22,6,34,0,0,1.3154603488375107
10 bananas 70 apples,hi10lo70,22,7,32,0,0,1.0964636274513004
10 bananas 70 apples,hi10lo70,22,8,29,0.10526315789473684,0,1.3574513414634743
10 bananas 70 apples,hi10lo70,22,9,40,0.4117647058823529,0,0.9721537068965925
10 bananas 70 apples,hi10lo70,22,10,38,0.7037037037037037,0,0.6873288554215176
10 bananas 70 apples,hi10lo70,22,11,33,0.9,0.16666666666666666,0.6694983720930353
10 bananas 70 apples,hi10lo70,22,12,53,0.26666666666666666,0,0.8753016153847476
10 bananas 70 apples,hi10lo70,22,13,37,0.7307692307692307,0,0.7243562179486244
10 bananas 70 apples,hi10lo70,22,14,30,1,0,0.5753514606739771
10 bananas 70 apples,hi10lo70,22,15,18,1,0,0.6359775824175513
10 bananas 70 apples,hi10lo70,22,16,12,1,0,0.7841427551020573
10 bananas 70 apples,hi10lo70,22,17,6,1,0,0.9414631578945677
10 bananas 70 apples,hi10lo70,22,18,13,0.36363636363636365,0,1.4108898000000045
10 bananas 70 apples,hi10lo70,22,19,31,0.38095238095238093,0,1.4837482894738634
10 bananas 70 apples,hi10lo70,22,20,1,0.9230769230769231,NA,1.1589976190478497
